Base Noun,Frequency (based on tweets),Polarity Positive(%),Polarity Negative (%),User_ID
shows,4,0.0,100.0,57461026
shows,4,0.0,100.0,16579411
covid,1,0.0,100.0,553480874
naughtybeyotch,2,100.0,0.0,565501978
naughtybeyotch,2,100.0,0.0,565501978
salon,2,0.0,100.0,565501978
salon,2,0.0,100.0,3352331979
rolls,1,0.0,100.0,553480874
principal,1,100.0,0.0,553480874
jackass,3,0.0,100.0,753498337
jackass,3,0.0,100.0,565501978
jackass,3,0.0,100.0,33831682
awards,1,100.0,0.0,80605638
citizens,16,6.25,93.75,565501978
citizens,16,6.25,93.75,553480874
citizens,16,6.25,93.75,27944341
citizens,16,6.25,93.75,16579411
citizens,16,6.25,93.75,20415005
citizens,16,6.25,93.75,16579411
citizens,16,6.25,93.75,565501978
citizens,16,6.25,93.75,565501978
citizens,16,6.25,93.75,565501978
citizens,16,6.25,93.75,565501978
citizens,16,6.25,93.75,565501978
citizens,16,6.25,93.75,178863237
citizens,16,6.25,93.75,2447898228
citizens,16,6.25,93.75,33831682
citizens,16,6.25,93.75,457123526
citizens,16,6.25,93.75,553480874
tomorrow,1,100.0,0.0,887569722
pledge,1,100.0,0.0,20415005
documentary,1,100.0,0.0,56838981
bat,2,0.0,100.0,30043610
bat,2,0.0,100.0,33831682
grandstanding,1,0.0,100.0,33831682
know,1,100.0,0.0,56838981
humanity,2,0.0,100.0,553480874
humanity,2,0.0,100.0,16579411
w,4,0.0,100.0,56838981
w,4,0.0,100.0,56838981
w,4,0.0,100.0,863113304
w,4,0.0,100.0,1616176478
skullhead,3,33.33333333333333,66.66666666666666,33831682
skullhead,3,33.33333333333333,66.66666666666666,33831682
skullhead,3,33.33333333333333,66.66666666666666,33831682
cummings,2,50.0,50.0,553480874
cummings,2,50.0,50.0,92643660
build,1,0.0,100.0,1430129144
hell,39,2.564102564102564,97.43589743589743,565501978
hell,39,2.564102564102564,97.43589743589743,3332543943
hell,39,2.564102564102564,97.43589743589743,38900178
hell,39,2.564102564102564,97.43589743589743,262052102
hell,39,2.564102564102564,97.43589743589743,2842797465
hell,39,2.564102564102564,97.43589743589743,224333112
hell,39,2.564102564102564,97.43589743589743,56838981
hell,39,2.564102564102564,97.43589743589743,92643660
hell,39,2.564102564102564,97.43589743589743,2869158160
hell,39,2.564102564102564,97.43589743589743,753498337
hell,39,2.564102564102564,97.43589743589743,565501978
hell,39,2.564102564102564,97.43589743589743,565501978
hell,39,2.564102564102564,97.43589743589743,28387976
